block_id,Ward_Code,ward,area_m2,area_ha,target_m2,deviation_pct,status,building_count
W06-B311,W06,Ward 6,19044.517329980266,1.9044517329980266,10000,90.44517329980266,above_preferred,14
W06-B312,W06,Ward 6,18974.231033039036,1.8974231033039035,10000,89.74231033039035,above_preferred,0
W06-B313,W06,Ward 6,18953.34106249699,1.8953341062496991,10000,89.53341062496992,above_preferred,15
W06-B314,W06,Ward 6,18953.341062490712,1.8953341062490712,10000,89.53341062490712,above_preferred,29
W06-B315,W06,Ward 6,18953.341062490712,1.8953341062490712,10000,89.53341062490712,above_preferred,14
W06-B316,W06,Ward 6,18953.341062470256,1.8953341062470255,10000,89.53341062470255,above_preferred,15
W06-B317,W06,Ward 6,18953.341062470256,1.8953341062470255,10000,89.53341062470255,above_preferred,12
W06-B318,W06,Ward 6,18878.72561097712,1.8878725610977118,10000,88.78725610977118,above_preferred,13
W06-B319,W06,Ward 6,18555.49841530355,1.855549841530355,10000,85.5549841530355,above_preferred,9
W06-B320,W06,Ward 6,18500.531508826476,1.8500531508826477,10000,85.00531508826477,above_preferred,6
W06-B321,W06,Ward 6,18263.631515416782,1.8263631515416783,10000,82.63631515416783,above_preferred,13
W06-B322,W06,Ward 6,18005.219134795643,1.8005219134795643,10000,80.05219134795642,above_preferred,33
W06-B323,W06,Ward 6,17998.324148012824,1.7998324148012823,10000,79.98324148012823,above_preferred,19
W06-B324,W06,Ward 6,17938.77528051858,1.7938775280518582,10000,79.38775280518581,above_preferred,16
W06-B325,W06,Ward 6,17899.959230760254,1.7899959230760254,10000,78.99959230760254,above_preferred,0
W06-B326,W06,Ward 6,17690.336121180928,1.7690336121180927,10000,76.90336121180927,above_preferred,11
W06-B327,W06,Ward 6,17423.280123410623,1.7423280123410623,10000,74.23280123410623,above_preferred,16
W06-B328,W06,Ward 6,17198.32744025505,1.7198327440255048,10000,71.98327440255048,above_preferred,18
W06-B329,W06,Ward 6,16903.340359632548,1.6903340359632548,10000,69.03340359632548,above_preferred,12
W06-B330,W06,Ward 6,16744.333352296322,1.6744333352296321,10000,67.44333352296321,above_preferred,16
W06-B331,W06,Ward 6,16727.65724137147,1.6727657241371472,10000,67.27657241371472,above_preferred,9
W06-B332,W06,Ward 6,16536.7337952727,1.65367337952727,10000,65.367337952727,above_preferred,0
W06-B333,W06,Ward 6,16424.241774855593,1.6424241774855592,10000,64.24241774855592,above_preferred,19
W06-B334,W06,Ward 6,16114.43620634823,1.611443620634823,10000,61.144362063482305,above_preferred,7
W06-B335,W06,Ward 6,15702.66955714366,1.570266955714366,10000,57.026695571436605,above_preferred,27
